bigram,freq
"('knit', 'itself')",2
"('itself', 'is')",18
"('of', 'mid')",2
"('mid', 'to')",5
"('to', 'thicker')",1
"('thicker', 'weight')",1
"('weight', 'so')",14
"('so', 'definitely')",9
"('definitely', 'appropriate')",2
"('appropriate', 'for')",48
"('for', 'winter')",33
"('winter', 'fall')",3
"('fall', 'and')",94
"('and', 'cooler')",1
"('cooler', 'spring')",1
"('spring', 'day')",8
"('day', 'i')",109
"('i', 'bought')",971
"('bought', 'my')",54
"('my', 'normal')",181
"('normal', 'size')",152
"('size', 'small')",237
"('and', 'felt')",46
"('felt', 'like')",44
"('like', 'it')",295
"('it', 'had')",62
"('had', 'more')",23
"('of', 'a')",449
"('a', 'slub')",2
"('slub', 'fit')",1
"('fit', 'than')",4
"('than', 'pictured')",33
"('pictured', 'in')",6
"('the', 'model')",476
"('model', 'shot')",18
"('shot', 'it')",5
"('wa', 'wider')",2
"('wider', 'down')",1
"('down', 'the')",117
"('the', 'torso')",31
"('torso', 'and')",50
"('and', 'a')",738
"('a', 'little')",1768
"('little', 'shorter')",29
"('shorter', 'not')",1
"('not', 'tunic')",2
"('tunic', 'length')",15
"('length', 'like')",2
"('like', 'picture')",3
"('picture', 'i')",56
"('i', 'm')",2941
"('m', '5')",951
"('5', '7')",249
"('7', 'with')",9
"('with', 'a')",1604
"('a', 'longer')",39
"('longer', 'torso')",14
"('and', 'this')",434
"('this', 'hit')",6
"('hit', 'maybe')",2
"('maybe', 'mid')",1
"('mid', 'bum')",2
"('bum', 'and')",6
"('and', 'I')",17
"('I', 'saw')",158
"('saw', 'this')",269
"('this', 'online')",78
"('online', 'but')",85
"('it', 'never')",4
"('never', 'struck')",1
"('struck', 'me')",5
"('me', 'a')",132
"('a', 'something')",3
"('something', 'i')",32
"('i', 'would')",838
"('would', 'wear')",45
"('wear', 'however')",2
"('however', 'after')",2
"('after', 'seeing')",18
"('seeing', 'it')",16
"('the', 'store')",645
"('store', 'it')",51
"('it', 'really')",94
"('really', 'caught')",5
"('caught', 'my')",73
"('my', 'eye')",100
"('eye', 'with')",1
"('with', 'it')",268
"('it', 'detailing')",1
"('detailing', 'so')",2
"('so', 'i')",1228
"('i', 'tried')",543
"('tried', 'it')",331
"('it', 'on')",825
"('on', 'what')",14
"('what', 'a')",31
"('a', 'great')",838
"('great', 'decision')",1
"('decision', 'because')",1
"('because', 'it')",315
"('is', 'so')",876
"('so', 'much')",464
"('much', 'more')",94
"('more', 'beautiful')",39
"('beautiful', 'in')",74
"('in', 'person')",627
"('person', 'and')",48
"('and', 'very')",252
"('very', 'soft')",295
"('soft', 'and')",996
"('and', 'warm')",72
"('warm', 'it')",14
"('it', 's')",3485
"('s', 'a')",681
"('a', 'perfect')",232
"('perfect', 'winter')",4
"('winter', 'sweater')",8
"('sweater', 'to')",29
"('to', 'start')",11
"('start', 'the')",2
"('the', 'new')",15
"('new', 'year')",6
"('year', 'i')",49
"('i', 'am')",2726
"('am', '5')",957
"('7', '138')",5
"('138', 'lb')",10
"('lb', 'and')",312
"('the', 'medium')",332
"('medium', 'fit')",122
"('perfectly', 'though')",5
"('though', 'it')",99
"('shorter', 'on')",14
"('on', 'me')",607
"('me', 'than')",48
"('than', 'shown')",25
"('shown', 'in')",39
"('the', 'photo')",288
"('photo', 'Great')",2
"('Great', 'fit')",22
"('fit', 'no')",2
"('no', 'bagging')",1
"('bagging', 'and')",1
"('and', 'sagging')",1
"('sagging', 'and')",2
"('and', 'they')",360
"('they', 'fit')",213
"('fit', 'true')",241
"('true', 'to')",971
"('to', 'size')",1120
"('size', 'very')",14
"('very', 'cute')",136
"('cute', 'for')",12
"('for', 'reference')",274
"('reference', 'i')",226
"('i', '39')",9
"('39', 'm')",13
"('5', '39')",4
"('39', '2')",1
"('2', '115')",15
"('115', 'lb')",101
"('and', 'take')",18
"('take', 'a')",70
"('a', '26p')",2
"('26p', 'they')",1
"('they', 'look')",99
"('look', 'just')",61
"('just', 'like')",109
"('like', 'they')",36
"('they', 'do')",96
"('do', 'on')",4
"('on', 'the')",2054
"('model', 'i')",63
"('i', 'highly')",118
"('recommend', 'The')",6
"('The', 'length')",2
"('length', 'is')",301
"('is', 'perfect')",657
"('perfect', 'the')",140
"('the', 'cut')",289
"('cut', 'of')",69
"('of', 'the')",1721
"('the', 'hemline')",12
"('hemline', 'make')",3
"('make', 'it')",375
"('it', 'off')",70
"('off', 'the')",145
"('the', 'chart')",1
"('chart', 'cute')",1
"('cute', 'i')",108
"('i', 'love')",1700
"('love', 'it')",847
"('it', 'w')",6
"('w', 'ghillie')",1
"('ghillie', 'type')",1
"('type', 'flat')",1
"('flat', 'or')",38
"('or', 'booty')",23
"('booty', 'pair')",1
"('pair', 'w')",2
"('w', 'a')",18
"('a', 'big')",86
"('big', 'warm')",1
"('warm', 'sweater')",7
"('sweater', 'or')",37
"('or', 'a')",215
"('a', 'sleek')",4
"('sleek', 'turtleneck')",1
"('turtleneck', 'and')",6
"('and', 'watch')",2
"('watch', 'head')",1
"('head', 'turn')",1
"('turn', 'a')",2
"('a', 'you')",54
"('you', 'enter')",1
"('enter', 'the')",1
"('the', 'room')",6
"('room', 'i')",22
"('i', 'promise')",3
"('promise', 'love')",1
"('love', 'this')",1200
"('this', 'skirt')",276
"('skirt', 'This')",10
"('This', 'dress')",521
"('dress', 'is')",945
"('is', 'beautifully')",25
"('beautifully', 'constructed')",3
"('constructed', 'it')",4
"('is', 'very')",1062
"('very', 'fitted')",20
"('fitted', 'and')",37
"('and', 'doe')",36
"('doe', 'run')",182
"('run', 'on')",22
"('small', 'side')",11
"('side', 'it')",16
"('it', 'will')",391
"('will', 'be')",567
"('be', 'a')",429
"('perfect', 'derby')",1
"('derby', 'dress')",1
"('dress', 'the')",210
"('the', 'lace')",208
"('lace', 'is')",50
"('is', 'lovely')",113
"('lovely', 'and')",70
"('the', 'pearl')",1
"('pearl', 'button')",1
"('button', 'are')",40
"('are', 'great')",120
"('great', 'touch')",4
"('touch', 'age')",1
"('age', 'appropriate')",7
"('for', 'anyone')",18
"('anyone', 'a')",2
"('a', 'very')",351
"('very', 'pretty')",131
"('pretty', 'dress')",19
"('dress', 'simple')",1
"('simple', 'classic')",3
"('classic', 'and')",28
"('and', 'gorgeous')",24
"('gorgeous', 'The')",1
"('The', 'color')",36
"('color', 'is')",579
"('is', 'a')",2478
"('soft', 'peach')",1
"('peach', 'and')",11
"('knit', 'top')",10
"('top', 'over')",8
"('over', 'the')",130
"('the', 'gauze')",1
"('gauze', 'is')",1
"('very', 'light')",62
"('light', 'summer')",3
"('summer', 'weight')",4
"('weight', 'knit')",10
"('knit', 'i')",6
"('i', 'can')",804
"('can', 'see')",149
"('see', 'this')",60
"('this', 'being')",15
"('being', 'worn')",2
"('worn', 'casual')",9
"('casual', 'or')",43
"('or', 'dressed')",74
"('dressed', 'up')",407
"('up', 'with')",205
"('a', 'statement')",29
"('statement', 'necklace')",22
"('necklace', 'and')",36
"('and', 'nice')",30
"('nice', 'skirt')",7
"('skirt', 'pant')",5
"('pant', 'I')",23
"('I', 'bought')",425
"('bought', 'the')",490
"('the', 'dress')",867
"('dress', 'that')",139
"('that', 'ha')",25
"('ha', 'the')",64
"('the', 'cream')",60
"('cream', 'skirt')",1
"('skirt', 'with')",20
"('with', 'large')",9
"('large', 'flower')",2
"('flower', 'i')",4
"('i', 'wore')",394
"('wore', 'it')",330
"('it', 'for')",265
"('for', 'a')",1158
"('a', 'wedding')",70
"('wedding', 'and')",42
"('and', 'wa')",234
"('wa', 'not')",123
"('not', 'only')",54
"('only', 'very')",1
"('very', 'comfortable')",366
"('comfortable', 'with')",35
"('with', 'the')",1155
"('the', 'pocket')",145
"('pocket', 'and')",37
"('the', 'cotton')",29
"('cotton', 'top')",7
"('top', 'i')",380
"('i', 'looked')",33
"('looked', 'good')",13
"('good', 'i')",34
"('i', 'got')",804
"('got', 'a')",225
"('a', 'lot')",410
"('the', 'outfit')",14
"('outfit', 'people')",1
"('people', 'thought')",3
"('thought', 'it')",146
"('wa', 'a')",547
"('a', 'shirt')",36
"('shirt', 'and')",112
"('and', 'blouse')",3
"('blouse', 'rather')",1
"('rather', 'than')",57
"('than', 'a')",80
"('a', 'dress')",228
"('dress', 'i')",471
"('i', 'loved')",144
"('loved', 'the')",134
"('the', 'high')",64
"('high', 'low')",25
"('low', 'skirt')",1
"('skirt', 'the')",52
"('the', 'sizing')",56
"('sizing', 'wa')",16
"('wa', 'accurate')",2
"('accurate', 'and')",3
"('is', 'easy')",41
"('easy', 'to')",301
"('to', 'clean')",4
"('clean', 'Soft')",1
"('Soft', 'comfortable')",5
"('comfortable', 'stylish')",10
"('stylish', 'i')",19
"('i', 'eagerly')",1
"('eagerly', 'awaited')",1
"('awaited', 'the')",1
"('the', 'arrival')",2
"('arrival', 'of')",2
"('of', 'this')",472
"('this', 'beautiful')",31
"('beautiful', 'sweater')",23
"('sweater', 'and')",84
"('not', 'disappointed')",16
"('disappointed', 'the')",7
"('accurate', 'for')",2
"('perfect', 'fit')",117
"('fit', 'and')",279
"('and', 'i')",2127
"('the', 'feminine')",13
"('feminine', 'detailing')",1
"('detailing', 'and')",11
"('and', 'shape')",13
"('shape', 'of')",22
"('the', 'necklne')",1
"('necklne', 'the')",1
"('ribbon', 'add')",1
"('add', 'an')",15
"('an', 'extra')",86
"('extra', 'touch')",5
"('touch', 'of')",32
"('of', 'style')",17
"('style', 'to')",9
"('to', 'a')",415
"('a', 'sweater')",134
"('sweater', 'that')",36
"('that', 'is')",276
"('is', 'both')",13
"('both', 'casual')",5
"('casual', 'and')",38
"('and', 'elegant')",34
"('elegant', 'at')",3
"('at', 'the')",929
"('the', 'same')",256
"('same', 'time')",52
"('time', 'very')",5
"('very', 'versatile')",112
"('versatile', 'Adorable')",1
"('Adorable', 'sweater')",1
"('sweater', 'with')",23
"('a', 'loose')",53
"('loose', 'knit')",4
"('knit', 'that')",11
"('that', 'help')",12
"('help', 'slim')",1
"('slim', 'down')",2
"('down', 'my')",14
"('my', 'man')",1
"('man', 'back')",1
"('back', 'appearance')",1
"('appearance', 'cut')",1
"('cut', 'is')",143
"('is', 'tapered')",1
"('tapered', 'to')",1
"('the', 'body')",156
"('body', 'but')",22
"('but', 'with')",87
"('a', 'soft')",92
"('soft', 'flare')",1
"('flare', 'at')",11
"('the', 'bottom')",382
"('bottom', 'hem')",12
"('hem', 'not')",2
"('not', 'clingy')",24
"('clingy', 'very')",3
"('soft', 'fabric')",66
"('fabric', 'doesn')",6
"('doesn', 't')",485
"('t', 'accentuate')",1
"('accentuate', 'bulge')",1
"('bulge', 'so')",1
"('am', 'happy')",27
"('happy', 'about')",9
"('about', 'it')",104
"('s', 'forgiving')",2
"('forgiving', 'silhouette')",2
"('silhouette', 'I')",2
"('I', 'walked')",5
"('walked', 'into')",18
"('into', 'retailer')",12
"('retailer', 'with')",4
"('with', 'low')",3
"('low', 'hope')",1
"('hope', 'of')",2
"('of', 'finding')",1
"('finding', 'a')",16
"('dress', 'for')",241
"('a', 'friend')",20
"('friend', 's')",8
"('s', 'spring')",1
"('spring', 'wedding')",7
"('wedding', 'a')",2
"('a', 'a')",426
"('this', 'season')",41
"('season', 's')",3
"('s', 'dress')",5
"('dress', 'are')",37
"('are', 'more')",58
"('more', 'casual')",47
"('casual', 'but')",35
"('but', 'wa')",52
"('wa', 'drawn')",21
"('drawn', 'to')",42
"('to', 'this')",73
"('this', 'pretty')",9
"('pretty', 'number')",1
"('number', 'for')",1
"('for', 'multiple')",7
"('multiple', 'reason')",1
"('reason', 'it')",4
"('it', 'can')",247
"('can', 'certainly')",2
"('certainly', 'be')",2
"('be', 'dressed')",291
"('up', 'or')",520
"('or', 'down')",411
"('down', 'depending')",24
"('depending', 'upon')",5
"('upon', 'accessory')",1
"('accessory', 'the')",5
"('the', 'fabric')",1162
"('fabric', 'feel')",41
"('feel', 'incredible')",1
"('incredible', 'it')",3
"('it', 'ha')",499
"('ha', 'pocket')",58
"('s', 'really')",62
"('really', 'fun')",15
"('fun', 'yet')",3
"('yet', 'classy')",4
"('classy', 'a')",2
"('a', 'heck')",1
"('heck', 'typically')",1
"('typically', 'i')",11
"('i', 'wear')",511
"('wear', 'a')",917
"('a', '10')",99
"('10', 'm')",8
"('m', 'in')",90
"('in', 'dress')",49
"('dress', 'but')",123
"('but', 'they')",169
"('they', 'only')",19
"('only', 'had')",25
"('had', 'a')",148
"('a', '12')",43
"('12', 'in')",28
"('in', 'store')",225
"('store', 'so')",30
"('i', 'took')",157
"('took', 'it')",23
"('it', 'and')",295
"('and', 'made')",41
"('made', 'it')",49
"('it', 'work')",98
"('work', 'by')",2
"('by', 'tightening')",1
"('tightening', 'the')",1
"('the', 'sash')",2
"('sash', 'a')",1
"('a', 'bit')",1180
"('bit', 'extra')",2
"('extra', 'and')",2
"('and', 'wearing')",9
"('wearing', 'a')",113
"('a', 'bra')",57
"('bra', 'w')",1
"('w', 'I')",14
"('I', 'wa')",236
"('wa', 'able')",78
"('able', 'to')",228
"('to', 'snatch')",3
"('snatch', 'this')",2
"('this', 'dress')",2068
"('dress', 'up')",203
"('up', 'just')",8
"('just', 'before')",3
"('before', 'it')",39
"('it', 'sold')",17
"('sold', 'out')",194
"('out', 'and')",76
"('i', 'see')",44
"('see', 'it')",60
"('s', 'now')",5
"('now', 'back')",1
"('back', 'in')",26
"('in', 'stock')",35
"('stock', 'the')",4
"('the', 'quality')",289
"('quality', 'of')",92
"('fabric', 'is')",824
"('is', 'outstanding')",6
"('outstanding', 'not')",1
"('not', 'flimsy')",10
"('flimsy', 'at')",2
"('at', 'all')",325
"('all', 'the')",358
"('the', 'top')",667
"('top', 'is')",531
"('is', 'stretchy')",28
"('stretchy', 'normally')",1
"('normally', 'i')",28
"('a', '2')",115
"('2', 'at')",6
"('at', 'retailer')",144
"('retailer', 'but')",36
"('but', 'the')",635
"('the', 'only')",221
"('only', 'choice')",1
"('choice', 'i')",6
"('i', 'had')",598
"('had', 'wa')",6
"('wa', '0')",1
"('0', 'and')",46
"('fit', 'i')",183
"('5', '5')",306
"('5', 'tall')",17
"('tall', '125')",1
"('125', 'lb')",70
"('lb', 'everything')",1
"('everything', 'about')",89
"('about', 'this')",184
"('dress', 'make')",18
"('make', 'me')",159
"('me', 'smile')",3
"('smile', 'and')",1
"('can', 't')",566
"('t', 'wait')",315
"('wait', 'to')",291
"('to', 'wear')",1449
"('wear', 'it')",896
"('it', 'to')",534
"('to', 'my')",340
"('my', 'holiday')",4
"('holiday', 'party')",29
"('party', 'don')",1
"('don', 't')",908
"('t', 'hesitate')",22
"('hesitate', 'if')",1
"('if', 'you')",798
"('you', 'are')",266
"('are', 'on')",35
"('the', 'fence')",44
"('fence', 'I')",1
"('dress', 'online')",48
"('online', 'and')",168
"('and', 'immediately')",36
"('immediately', 'went')",7
"('went', 'to')",50
"('store', 'to')",38
"('to', 'try')",302
"('try', 'on')",82
"('on', 'it')",354
"('it', 'took')",5
"('took', 'three')",2
"('three', 'sale')",2
"('sale', 'asscoaites')",1
"('asscoaites', 'to')",1
"('to', 'help')",11
"('help', 'me')",9
"('me', 'zip')",1
"('zip', 'the')",5
"('but', 'once')",36
"('once', 'it')",20
"('wa', 'on')",74
"('wa', 'beautiful')",18
"('the', 'bodice')",58
"('bodice', 'fit')",6
"('fit', 'really')",41
"('really', 'nicely')",21
"('nicely', 'true')",2
"('size', 'there')",7
"('there', 'wa')",71
"('wa', 'extra')",1
"('extra', 'fabric')",23
"('fabric', 'around')",6
"('around', 'the')",261
"('the', 'waist')",450
"('waist', 'bust')",1
"('bust', 'nothing')",1
"('nothing', 'that')",5
"('that', 'made')",12
"('made', 'the')",62
"('the', 'fit')",829
"('fit', 'look')",8
"('look', 'weird')",8
"('weird', 'love')",1
"('love', 'love')",225
"('love', 'wearing')",18
"('wearing', 'for')",6
"('for', 'christmas')",23
"('christmas', 'eve')",4
"('eve', 'I')",1
"('I', 'got')",128
"('got', 'he')",1
"('he', 'green')",1
"('green', 'color')",83
"('color', 'with')",18
"('with', 'gray')",9
"('gray', 'accent')",1
"('accent', 'stitching')",2
"('stitching', 'look')",2
"('look', 'awesome')",24
"('awesome', 'with')",14
"('gray', 'tone')",3
"('tone', 'legging')",1
"('legging', 'super')",2
"('super', 'soft')",229
"('soft', 'definitely')",4
"('definitely', 'run')",27
"('run', 'a')",334
"('little', 'big')",105
"('big', '5')",1
"('5', '6')",258
"('6', '140')",6
"('140', 'lb')",54
"('lb', 'i')",68
"('i', 'ordered')",976
"('small', 'but')",127
"('but', 'not')",525
"('not', 'in')",33
"('in', 'an')",95
"('an', 'unflattering')",6
"('unflattering', 'way')",4
"('way', 'Love')",2
"('Love', 'this')",479
"('this', 'tunic')",74
"('tunic', 'it')",9
"('s', 'super')",65
"('super', 'comfy')",102
"('comfy', 'cute')",2
"('have', 'in')",34
"('in', 'cream')",9
"('cream', 'and')",16
"('and', 'love')",192
"('love', 'so')",9
"('much', 'i')",187
"('ordered', 'in')",32
"('in', 'mint')",2
"('mint', 'look')",2
"('look', 'great')",600
"('great', 'with')",481
"('with', 'jean')",384
"('jean', 'and')",335
"('and', 'boot')",137
"('boot', 'I')",25
"('I', 'really')",94
"('really', 'love')",84
"('this', 'lace')",1
"('lace', 'up')",30
"('up', 'shirt')",7
"('shirt', 'but')",47
"('but', 'i')",1405
"('i', 'only')",37
"('only', 'liked')",1
"('liked', 'it')",56
"('in', 'black')",147
"('black', 'on')",13
"('me', 'i')",302
"('i', 'like')",491
"('it', 'open')",19
"('open', 'like')",3
"('like', 'the')",560
"('model', 'is')",25
"('is', 'wearing')",17
"('wearing', 'it')",295
"('it', 'but')",134
"('had', 'to')",504
"('to', 'have')",301
"('have', 'it')",173
"('it', 'a')",501
"('little', 'more')",95
"('more', 'closed')",2
"('closed', 'because')",1
"('because', 'the')",174
"('lace', 'part')",4
"('part', 'doe')",2
"('doe', 'go')",6
"('go', 'down')",45
"('down', 'a')",91
"('a', 'way')",17
"('way', 'and')",26
"('i', 'felt')",113
"('like', 'i')",152
"('i', 'wa')",1002
"('wa', 'revealing')",1
"('revealing', 'a')",4
"('little', 'too')",62
"('too', 'much')",160
"('would', 'likely')",2
"('likely', 'wear')",3
"('open', 'but')",9
"('but', 'then')",36
"('then', 'have')",1
"('have', 'to')",422
"('to', 'pair')",64
"('pair', 'it')",55
"('it', 'with')",591
"('a', 'cami')",161
"('cami', 'underneath')",77
"('underneath', 'to')",11
"('to', 'feel')",28
"('feel', 'comfortable')",26
"('comfortable', 'i')",238
"('i', 'absolutely')",90
"('absolutely', 'love')",223
"('the', 'whole')",39
"('whole', 'outfit')",5
"('outfit', 'a')",6
"('a', 'pictured')",156
"('pictured', 'and')",19
"('and', 'also')",63
"('also', 'reviewed')",1
"('reviewed', 'the')",1
"('the', 'polka')",12
"('polka', 'dot')",38
"('dot', 'pant')",1
"('pant', 'i')",139
"('i', 'wish')",210
"('wish', 'the')",36
"('lace', 'were')",1
"('were', 'a')",71
"('little', 'longer')",61
"('longer', 'than')",85
"('than', 'they')",11
"('they', 'are')",929
"('are', 'if')",1
"('you', 'have')",167
"('have', 'i')",15
"('i', 'Love')",9
"('this', 'blouse')",193
"('blouse', 'it')",36
"('comfy', 'look')",8
"('jean', 'this')",11
"('blouse', 'run')",4
"('run', 'true')",144
"('size', 'i')",412
"('i', 'purchased')",434
"('purchased', 'in')",35
"('in', 'my')",644
"('small', 'I')",37
"('wa', 'hesitant')",52
"('hesitant', 'based')",1
"('based', 'on')",119
"('the', 'review')",119
"('review', 'but')",40
"('m', 'glad')",87
"('glad', 'i')",387
"('ordered', 'this')",220
"('dress', 'in')",242
"('in', 'blue')",46
"('blue', 'the')",15
"('the', 'material')",703
"('material', 'is')",575
"('is', 'like')",35
"('like', 'a')",641
"('a', 'french')",1
"('french', 'dot')",1
"('dot', 'texture')",1
"('texture', 'that')",8
"('is', 'soft')",368
"('soft', 'but')",46
"('but', 'still')",162
"('still', 'a')",62
"('bit', 'structured')",1
"('structured', 'i')",4
"('had', 'no')",34
"('no', 'issue')",32
"('issue', 'with')",48
"('fit', 'it')",73
"('s', 'appropriately')",1
"('appropriately', 'just')",1
"('just', 'a')",365
"('little', 'oversized')",6
"('oversized', 'the')",6
"('the', 'styling')",23
"('styling', 'is')",13
"('very', 'mod')",1
"('mod', 'I')",2
"('I', 'purchased')",177
"('purchased', 'this')",227
"('this', 'jacket')",208
"('jacket', 'in')",37
"('in', 'green')",37
"('green', 'x')",2
"('x', 'small')",39
"('small', 'a')",31
"('a', 'while')",76
"('while', 'back')",5
"('back', 'and')",121
"('and', 'wasn')",11
"('wasn', 't')",275
"('t', '100')",2
"('100', 'sure')",1
"('sure', 'about')",43
"('it', 'due')",10
"('due', 'to')",153
"('the', 'size')",341
"('5', '3')",342
"('3', '117')",17
"('117', 'lb')",8
"('a', '33a')",1
"('33a', 'and')",1
"('and', 'thought')",53
"('little', 'snug')",48
"('snug', 'so')",10
"('tried', 'on')",249
"('and', 'that')",103
"('that', 'wa')",83
"('wa', 'way')",33
"('way', 'too')",60
"('too', 'big')",179
"('big', 'so')",47
"('i', 'kept')",44
"('kept', 'the')",28
"('the', 'x')",388
"('x', 'i')",73
"('have', 'worn')",136
"('worn', 'it')",181
"('a', 'few')",207
"('few', 'time')",22
"('time', 'and')",71
"('it', 'doe')",405
"('doe', 'look')",12
"('great', 'however')",4
"('however', 'i')",95
"('can', 'only')",7
"('only', 'wear')",7
"('wear', 'thin')",3
"('thin', 'top')",5
"('top', 'with')",85
"('it', 'recently')",4
"('recently', 'i')",5
"('purchased', 'the')",285
"('the', 'black')",312
"('black', 'x')",1
"('this', 'i')",87
"('s', 'looser')",2
"('looser', 'then')",1
"('then', 'the')",24
"('the', 'green')",208
"('green', 'so')",5
"('can', 'get')",42
"('get', 'away')",37
"('away', 'with')",42
"('with', 'thicker')",2
"('thicker', 'top')",2
"('i', 'do')",263
"('do', 'recommend')",11
"('recommend', 'both')",3
"('both', 'jacket')",1
"('jacket', 'they')",1
"('are', 'pricey')",5
"('pricey', 'for')",13
"('for', 'what')",14
"('what', 'I')",1
"('I', 'love')",1063
"('jacket', 'over')",16
"('over', 'a')",125
"('dress', 'it')",451
"('s', 'snug')",5
"('snug', 'fitting')",3
"('fitting', 'so')",8
"('so', 'can')",17
"('t', 'wear')",45
"('wear', 'anything')",14
"('anything', 'bulky')",2
"('bulky', 'under')",2
"('under', 'it')",82
"('but', 'super')",10
"('super', 'stylish')",5
"('stylish', 'and')",57
"('and', 'comfy')",133
"('comfy', 'stretchy')",4
"('stretchy', 'material')",14
"('material', 'it')",30
"('bit', 'pricey')",15
"('pricey', 'but')",31
"('i', 'get')",142
"('get', 'a')",155
"('of', 'wear')",40
"('wear', 'out')",51
"('out', 'of')",293
"('of', 'it')",136
"('it', 'so')",226
"('so', 'worth')",23
"('worth', 'it')",109
"('to', 'me')",120
"('me', 'I')",35
"('I', 'm')",219
"('5', '1')",184
"('1', 'and')",61
"('and', '110')",8
"('110', 'lb')",25
"('this', 'in')",522
"('a', 'xsp')",1
"('xsp', 'and')",11
"('i', 'could')",376
"('could', 'barely')",5
"('barely', 'zip')",1
"('zip', 'it')",11
"('it', 'up')",297
"('up', 'and')",117
"('and', 'when')",61
"('when', 'i')",672
"('i', 'did')",490
"('did', 'i')",76
"('i', 'couldn')",115
"('couldn', 't')",201
"('t', 'breathe')",3
"('breathe', 'i')",1
"('tried', 'again')",2
"('again', 'and')",15
"('and', 'ordered')",204
"('ordered', 'a')",380
"('a', 'sp')",5
"('sp', 'and')",4
"('s', 'perfect')",120
"('perfect', 'now')",4
"('now', 'i')",78
"('i', 'just')",231
"('just', 'need')",18
"('need', 'somewhere')",1
"('somewhere', 'to')",2
"('it', 'Beautiful')",14
"('Beautiful', 'shirt')",2
"('shirt', 'hit')",1
"('hit', 'me')",105
"('little', 'higher')",15
"('higher', 'i')",4
"('m', 'not')",133
"('not', 'sure')",155
"('sure', 'i')",66
"('m', 'going')",68
"('going', 'to')",262
"('to', 'keep')",134
"('keep', 'it')",96
"('it', 'just')",94
"('just', 'because')",11
"('because', 'i')",428
"('have', 'something')",6
"('something', 'similar')",4
"('similar', 'but')",2
"('a', 'beautiful')",309
"('beautiful', 'top')",31
"('6', 'and')",189
"('and', 'carrying')",1
"('carrying', 'a')",2
"('little', 'extra')",28
"('extra', 'baby')",5
"('baby', 'weight')",13
"('weight', 'right')",2
"('right', 'now')",64
"('now', 'so')",6
"('m', 'an')",28
"('an', '8')",99
"('8', '10')",52
"('10', 'instead')",1
"('instead', 'of')",76
"('of', 'my')",374
"('my', 'usual')",430
"('usual', '6')",6
"('6', '8')",33
"('8', 'i')",22
"('ordered', 'an')",72
"('8', 'and')",166
"('fit', 'well')",243
"('well', 'I')",63
"('blouse', 'because')",6
"('s', 'great')",56
"('great', 'for')",338
"('for', 'work')",252
"('work', 'with')",109
"('with', 'cardigan')",5
"('cardigan', 'over')",8
"('over', 'it')",48
"('and', 'great')",99
"('for', 'going')",12
"('going', 'out')",39
"('out', 'with')",60
"('with', 'skirt')",34
"('pant', 'or')",57
"('or', 'jean')",43
"('jean', 'it')",43
"('is', 'tt')",54
"('tt', 'and')",55
"('very', 'flattering')",652
"('flattering', 'light')",1
"('light', 'weight')",142
"('weight', 'and')",103
"('and', 'comfortable')",428
"('comfortable', 'I')",27
"('I', 'happened')",4
"('happened', 'upon')",3
"('upon', 'this')",10
"('my', 'local')",201
"('local', 'store')",97
"('store', 'despite')",1
"('despite', 'the')",25
"('the', 'fact')",56
"('fact', 'that')",55
"('that', 'it')",659
"('is', 'an')",133
"('an', 'online')",8
