bigram,freq
"('I', 'ordered')",251
"('ordered', 'the')",484
"('the', 'sweater')",164
"('sweater', 'in')",60
"('in', 'a')",835
"('a', 'medium')",502
"('medium', 'but')",70
"('but', 'it')",921
"('it', 'wa')",1062
"('wa', 'too')",138
"('too', 'large')",60
"('large', 'so')",74
"('so', 'reordered')",3
"('reordered', 'it')",6
"('it', 'in')",792
"('in', 'the')",3463
"('the', 'small')",474
"('small', 'and')",337
"('and', 'it')",2145
"('it', 'fit')",1145
"('fit', 'perfectly')",752
"('perfectly', 'love')",10
"('love', 'the')",1412
"('the', 'length')",589
"('length', 'it')",33
"('it', 'hit')",125
"('hit', 'mid')",7
"('mid', 'hip')",6
"('hip', 'it')",14
"('it', 'is')",3434
"('is', 'more')",192
"('more', 'of')",212
"('of', 'an')",51
"('an', 'a')",19
"('a', 'line')",75
"('line', 'than')",1
"('than', 'straight')",2
"('straight', 'a')",3
"('a', 'show')",10
"('show', 'in')",17
"('the', 'picture')",404
"('picture', 'the')",39
"('the', 'detail')",201
"('detail', 'is')",63
"('is', 'fun')",36
"('fun', 'and')",103
"('and', 'the')",3021
"('sweater', 'is')",200
"('is', 'well')",90
"('well', 'made')",365
"('made', 'highly')",1
"('highly', 'recommend')",330
"('recommend', 'it')",102
"('it', 'i')",604
"('i', 'have')",1261
"('have', 'received')",43
"('received', 'lot')",17
"('lot', 'of')",440
"('of', 'compliment')",225
"('compliment', 'on')",181
"('on', 'this')",299
"('this', 'sweater')",409
"('sweater', 'This')",5
"('This', 'sweater')",129
"('is', 'of')",34
"('of', 'nice')",3
"('nice', 'quality')",52
"('quality', 'and')",231
"('and', 'ha')",179
"('ha', 'such')",17
"('such', 'great')",6
"('great', 'detail')",17
"('detail', 'to')",21
"('to', 'it')",271
"('it', 'love')",21
"('the', 'pattern')",202
"('pattern', 'to')",12
"('to', 'the')",755
"('the', 'knit')",70
"('knit', 'and')",20
"('the', 'ribbon')",18
"('ribbon', 'detail')",4
"('is', 'unique')",48
"('unique', 'and')",121
"('and', 'beautiful')",93
"('beautiful', 'the')",94
