bigram,freq
"('back', 'where')",1
"('where', 'they')",2
"('they', 'belonged')",1
"('belonged', 'i')",1
"('m', 'neither')",1
"('neither', 'flat')",1
"('flat', 'chested')",3
"('chested', 'nor')",1
"('nor', 'busty')",1
"('busty', 'Cute')",1
"('Cute', 'and')",1
"('and', 'very')",11
"('very', 'soft')",6
"('soft', 'but')",4
"('but', 'the')",69
"('the', 'elastic')",4
"('elastic', 'wasn')",1
"('wasn', 't')",19
"('t', 'sewn')",3
"('sewn', 'in')",3
"('in', 'right')",1
"('right', 'i')",1
"('i', 'took')",8
"('took', 'them')",1
"('them', 'out')",4
"('the', 'waistband')",5
"('waistband', 'wa')",1
"('a', 'twisted')",1
"('twisted', 'mess')",1
"('mess', 'disappointing')",1
"('disappointing', 'for')",1
"('for', 'more')",4
"('more', 'expensive')",1
"('expensive', 'loungewear')",1
"('loungewear', 'What')",1
"('What', 'an')",1
"('an', 'adorable')",1
"('adorable', 'and')",3
"('and', 'frustrating')",1
"('frustrating', 'skirt')",1
"('skirt', 'i')",2
"('m', 'not')",12
"('not', 'a')",33
"('a', 'large')",14
"('large', 'person')",1
"('person', '32d')",1
"('32d', '26')",1
"('26', '36')",1
"('36', 'and')",1
"('and', 'i')",80
"('i', 'ordered')",67
"('ordered', 'my')",4
"('my', 'normal')",3
"('normal', 'size')",3
"('size', 'small')",10
"('small', 'this')",2
"('this', 'is')",61
"('is', 'a')",75
"('a', 'pull')",2
"('pull', 'on')",2
"('on', 'skirt')",1
"('skirt', 'and')",2
"('the', 'waist')",30
"('waist', 'opening')",1
"('opening', 'could')",1
"('could', 'not')",9
"('not', 'accommodate')",1
"('accommodate', 'either')",1
"('either', 'my')",1
"('my', 'shoulder')",3
"('shoulder', 'or')",1
"('or', 'my')",1
"('my', 'hip')",5
"('hip', 'in')",2
"('in', 'most')",2
"('most', 'retailer')",1
"('retailer', 'clothes')",2
"('clothes', 'i')",1
"('m', 'either')",2
"('either', 'a')",2
"('a', 'size')",41
"('size', '2')",5
"('2', 'or')",2
"('or', '4')",4
"('4', 'i')",2
"('i', 'have')",52
"('have', 'to')",26
"('to', 'agree')",2
"('agree', 'with')",8
"('with', 'the')",41
"('the', 'other')",26
"('other', 'reviewer')",20
"('reviewer', 'there')",2
"('there', 'is')",47
"('is', 'no')",15
"('no', 'way')",13
"('way', 'to')",7
"('to', 'put')",4
"('put', 'this')",5
"('this', 'item')",4
"('item', 'on')",2
"('on', 'I')",1
"('I', 'ordered')",21
"('ordered', 'the')",21
"('the', 'blue')",14
"('blue', 'in')",1
"('in', 'size')",2
"('size', '16')",3
"('16', 'it')",1
"('it', 'ran')",6
"('ran', 'at')",2
"('at', 'least')",5
"('least', 'two')",2
"('two', 'if')",1
"('if', 'not')",2
"('not', 'three')",1
"('three', 'size')",1
"('size', 'too')",5
"('too', 'small')",21
"('small', 'compared')",2
"('compared', 'to')",3
"('to', 'my')",17
"('my', 'other')",2
"('other', 'retailer')",2
"('retailer', '14')",1
"('14', '16')",1
"('16', 'blouse')",1
"('blouse', 'it')",3
"('wa', 'too')",18
"('small', 'through')",1
"('through', 'the')",13
"('the', 'body')",11
"('body', 'other')",1
"('other', 'than')",5
"('than', 'the')",10
"('the', 'peplum')",7
"('peplum', 'the')",2
"('the', 'arm')",25
"('arm', 'were')",3
"('were', 'tight')",1
"('tight', 'too')",1
"('too', 'the')",1
"('the', 'waistline')",3
"('waistline', 'and')",1
"('and', 'length')",2
"('length', 'matched')",1
"('matched', 'the')",1
"('the', 'online')",4
"('online', 'photo')",3
"('photo', 'it')",6
"('s', 'widening')",1
"('widening', 'the')",1
"('the', 'material')",57
"('material', 'they')",1
"('they', 'chose')",1
"('chose', 'wa')",1
"('wa', 'also')",13
"('also', 'scratchy')",1
"('scratchy', 'and')",2
"('and', 'rough')",2
"('rough', 'especially')",1
"('especially', 'around')",2
"('around', 'the')",17
"('the', 'neckline')",18
"('neckline', 'i')",1
"('i', 'returned')",16
"('returned', 'mine')",1
"('mine', 'after')",1
"('after', 'trying')",3
"('trying', 'it')",6
"('and', 'seeing')",1
"('seeing', 'there')",1
"('there', 'wa')",15
"('wa', 'no')",4
"('to', 'make')",12
"('make', 'this')",4
"('this', 'work')",1
"('work', 'the')",1
"('blue', 'color')",2
"('color', 'wa')",6
"('wa', 'gorgeous')",3
"('gorgeous', 'though')",1
"('the', 'patterned')",1
"('patterned', 'lace')",1
"('lace', 'w')",1
"('w', 'I')",1
"('I', 'm')",15
"('m', 'usually')",3
