word,freq
large,1291
small,2316
mid,66
fun,128
nice,1443
great,3813
unique,417
beautiful,1450
appropriate,84
normal,264
little,1928
tunic,122
soft,2201
warm,336
perfect,2130
new,275
fit,1140
true,1118
cute,864
ghillie,1
big,742
sleek,16
fitted,159
doe,71
touch,39
dress,62
simple,167
classic,230
gorgeous,619
light,583
worn,65
casual,642
comfortable,2105
good,898
outfit,16
high,591
low,297
easy,464
stylish,199
extra,345
elegant,139
Adorable,14
loose,514
bottom,158
clingy,39
happy,511
wa,204
pretty,296
multiple,62
incredible,33
able,231
outstanding,10
stretchy,121
tall,177
smile,1
weird,42
green,421
gray,161
accent,2
awesome,124
super,824
unflattering,27
much,826
jean,454
black,1169
closed,8
open,148
cami,42
whole,60
longer,192
hesitant,40
glad,349
blue,351
french,6
structured,34
oversized,59
mod,1
sure,407
due,150
thin,339
snug,117
wear,165
bulky,32
comfy,215
pricey,34
worth,126
higher,116
similar,108
usual,508
tt,96
flattering,745
local,229
online,187
exclusive,9
fine,199
vest,15
x,186
top,2314
long,711
faded,15
deep,105
chest,104
petite,699
younger,12
many,784
tight,411
white,854
smaller,241
los,1
ha,76
right,537
sweatshirt,3
red,425
olive,58
enough,174
close,29
lovely,194
immodest,5
fabric,236
thick,219
fat,10
girl,8
first,430
cheap,39
least,100
colorful,34
lightweight,231
flow,51
wish,138
older,15
personal,27
accurate,25
romantic,73
sheer,65
nude,93
camisole,21
special,180
outside,17
huge,99
v,16
crazy,35
fresh,30
feminine,235
denim,37
etc,1
soo,8
cool,168
embossed,1
supportive,13
compliment,118
youthful,5
young,28
heavy,225
short,1095
boxy,197
recurrent,1
patterned,10
vibrant,171
bad,86
yellow,96
cheerful,8
knee,12
conscious,18
back,185
elastic,97
Perfect,6
mixed,22
curatorial,1
dramatic,14
wonderful,193
dark,168
boho,10
significant,4
tab,1
jersey,2
leather,15
different,485
floral,103
interesting,88
aesthetic,12
versatile,256
bohemian,33
larger,237
asymmetrical,30
second,118
tad,64
figure,33
preppy,4
else,5
absolute,16
coral,78
flowy,210
favorite,403
regular,592
waist,76
delicate,128
durable,28
navy,249
bigger,126
mine,22
broad,118
surprised,31
roomy,73
tag,9
earlier,11
overall,260
horizontal,15
generous,46
layered,21
skirt,16
cropped,66
necessary,23
dressier,28
skinny,348
various,22
oatmeal,4
linen,32
heavier,70
typical,97
adorable,297
nautical,5
refreshing,3
double,45
best,286
pant,254
pleased,121
sipper,1
easier,17
bendable,1
c,17
correct,20
difficult,64
wide,246
pale,58
complementary,4
adequate,7
swing,22
pilcro,44
hard,177
seductive,1
exquisite,15
darn,8
lower,96
creamy,7
brownish,7
available,159
fabulous,128
chic,111
sophisticated,36
sweet,59
front,81
narrow,64
bra,25
plastic,3
transitional,37
quirky,18
chilly,11
western,8
lucky,35
stunning,59
complement,5
cardigan,42
blazer,4
last,233
deodorant,1
full,332
plaid,17
pear,37
shaped,10
slim,117
body,9
uncomfortable,37
slight,92
smart,2
material,40
colour,1
take,3
shorter,191
bathing,5
suitable,6
modern,47
amazing,126
better,236
reviewer,33
limited,2
provide,1
fashionable,17
practical,22
impeccable,8
hungry,1
torso,17
bright,137
bust,52
roomier,6
midi,11
wrinkle,12
free,50
effortless,16
color,21
basic,120
flat,260
dry,91
clean,26
modest,51
sexy,87
functional,28
lay,5
