word,freq,Precentage,Total,80534,word,Precentage
hoped,46,0.057%,,,,
mean,46,0.057%,,,,
noted,46,0.057%,,,,
feeling,46,0.057%,,,,
dressing,46,0.057%,,,,
allows,46,0.057%,,,,
suggest,46,0.057%,,,,
supposed,46,0.057%,,,,
wrinkle,46,0.057%,,,,
waiting,46,0.057%,,,,
weight,45,0.056%,,,,
tie,45,0.056%,,,,
petite,45,0.056%,,,,
styled,44,0.055%,,,,
shaped,44,0.055%,,,,
end,44,0.055%,,,,
sell,44,0.055%,,,,
worry,44,0.055%,,,,
carry,44,0.055%,,,,
taking,44,0.055%,,,,
hanging,43,0.053%,,,,
consider,43,0.053%,,,,
styling,43,0.053%,,,,
tailored,43,0.053%,,,,
concerned,42,0.052%,,,,
given,42,0.052%,,,,
hemmed,42,0.052%,,,,
disagree,42,0.052%,,,,
structured,42,0.052%,,,,
flowy,42,0.052%,,,,
walk,42,0.052%,,,,
x,41,0.051%,,,,
leave,41,0.051%,,,,
returning,41,0.051%,,,,
searching,41,0.051%,,,,
paid,41,0.051%,,,,
buttoned,41,0.051%,,,,
snag,41,0.051%,,,,
revealing,40,0.050%,,,,
snug,40,0.050%,,,,
waited,40,0.050%,,,,
giving,40,0.050%,,,,
tied,40,0.050%,,,,
imagine,40,0.050%,,,,
jean,39,0.048%,,,,
adding,39,0.048%,,,,
saying,39,0.048%,,,,
figured,39,0.048%,,,,
busted,38,0.047%,,,,
turned,38,0.047%,,,,
Purchased,38,0.047%,,,,
stretched,38,0.047%,,,,
roll,37,0.046%,,,,
covered,37,0.046%,,,,
bring,37,0.046%,,,,
obsessed,37,0.046%,,,,
lightweight,37,0.046%,,,,
holding,37,0.046%,,,,
asked,37,0.046%,,,,
sit,36,0.045%,,,,
eyeing,36,0.045%,,,,
taken,36,0.045%,,,,
super,36,0.045%,,,,
darling,36,0.045%,,,,
shrink,36,0.045%,,,,
zip,35,0.043%,,,,
red,35,0.043%,,,,
recommended,35,0.043%,,,,
pick,35,0.043%,,,,
choose,35,0.043%,,,,
dinner,35,0.043%,,,,
hem,35,0.043%,,,,
start,34,0.042%,,,,
constructed,34,0.042%,,,,
wedding,34,0.042%,,,,
transition,34,0.042%,,,,
grabbed,34,0.042%,,,,
fun,34,0.042%,,,,
set,34,0.042%,,,,
fabric,34,0.042%,,,,
tt,34,0.042%,,,,
drawn,34,0.042%,,,,
compared,34,0.042%,,,,
itchy,33,0.041%,,,,
hate,33,0.041%,,,,
pairing,33,0.041%,,,,
grab,33,0.041%,,,,
receive,33,0.041%,,,,
stop,33,0.041%,,,,
offered,33,0.041%,,,,
reminds,32,0.040%,,,,
avoid,32,0.040%,,,,
dried,32,0.040%,,,,
open,31,0.038%,,,,
warm,31,0.038%,,,,
fine,31,0.038%,,,,
lose,31,0.038%,,,,
called,31,0.038%,,,,
walking,31,0.038%,,,,
loving,31,0.038%,,,,
check,31,0.038%,,,,
length,31,0.038%,,,,
built,30,0.037%,,,,
putting,30,0.037%,,,,
write,30,0.037%,,,,
spend,30,0.037%,,,,
passed,30,0.037%,,,,
skim,30,0.037%,,,,
turn,29,0.036%,,,,
interesting,29,0.036%,,,,
embroidered,29,0.036%,,,,
regret,29,0.036%,,,,
compliment,29,0.036%,,,,
call,29,0.036%,,,,
exchanged,29,0.036%,,,,
skirt,29,0.036%,,,,
lost,29,0.036%,,,,
detail,29,0.036%,,,,
pulling,29,0.036%,,,,
slip,28,0.035%,,,,
clingy,28,0.035%,,,,
preferred,28,0.035%,,,,
held,28,0.035%,,,,
cozy,28,0.035%,,,,
flare,28,0.035%,,,,
tempted,28,0.035%,,,,
appear,28,0.035%,,,,
Bought,28,0.035%,,,,
working,28,0.035%,,,,
sitting,28,0.035%,,,,
pas,28,0.035%,,,,
w,27,0.034%,,,,
complimented,27,0.034%,,,,
sewn,27,0.034%,,,,
cool,27,0.034%,,,,
sits,27,0.034%,,,,
require,27,0.034%,,,,
shopping,27,0.034%,,,,
muted,27,0.034%,,,,
closed,27,0.034%,,,,
opted,27,0.034%,,,,
lounging,27,0.034%,,,,
stitching,26,0.032%,,,,
shape,26,0.032%,,,,
exchanging,26,0.032%,,,,
adjust,26,0.032%,,,,
including,26,0.032%,,,,
realized,26,0.032%,,,,
decide,26,0.032%,,,,
spot,26,0.032%,,,,
pretty,26,0.032%,,,,
flatter,26,0.032%,,,,
happened,25,0.031%,,,,
change,25,0.031%,,,,
send,25,0.031%,,,,
falling,25,0.031%,,,,
accentuates,25,0.031%,,,,
hung,25,0.031%,,,,
planning,25,0.031%,,,,
attached,25,0.031%,,,,
realize,25,0.031%,,,,
offer,24,0.030%,,,,
told,24,0.030%,,,,
accommodate,24,0.030%,,,,
roomy,24,0.030%,,,,
sleep,24,0.030%,,,,
snagged,24,0.030%,,,,
note,24,0.030%,,,,
yes,24,0.030%,,,,
cardigan,24,0.030%,,,,
belted,23,0.029%,,,,
feminine,23,0.029%,,,,
brought,23,0.029%,,,,
understand,23,0.029%,,,,
med,23,0.029%,,,,
placed,22,0.027%,,,,
loose,22,0.027%,,,,
hugging,22,0.027%,,,,
using,22,0.027%,,,,
laid,22,0.027%,,,,
ride,22,0.027%,,,,
gaping,22,0.027%,,,,
piece,22,0.027%,,,,
heel,22,0.027%,,,,
commented,22,0.027%,,,,
depends,22,0.027%,,,,
spotted,22,0.027%,,,,
sleeved,22,0.027%,,,,
close,21,0.026%,,,,
please,21,0.026%,,,,
opened,21,0.026%,,,,
form,21,0.026%,,,,
enjoy,21,0.026%,,,,
delicate,21,0.026%,,,,
sometimes,21,0.026%,,,,
baggy,21,0.026%,,,,
required,21,0.026%,,,,
allow,21,0.026%,,,,
considered,21,0.026%,,,,
create,21,0.026%,,,,
medium,21,0.026%,,,,
matching,21,0.026%,,,,
traveling,21,0.026%,,,,
Loved,21,0.026%,,,,
stopped,21,0.026%,,,,
booty,20,0.025%,,,,
slim,20,0.025%,,,,
provides,20,0.025%,,,,
showed,20,0.025%,,,,
curve,20,0.025%,,,,
miss,20,0.025%,,,,
attracted,20,0.025%,,,,
knit,20,0.025%,,,,
pleased,20,0.025%,,,,
weigh,20,0.025%,,,,
belt,20,0.025%,,,,
travel,20,0.025%,,,,
polished,20,0.025%,,,,
lb,20,0.025%,,,,
flatters,20,0.025%,,,,
pattern,20,0.025%,,,,
stretchy,20,0.025%,,,,
hesitated,19,0.024%,,,,
stick,19,0.024%,,,,
receiving,19,0.024%,,,,
draped,19,0.024%,,,,
resist,19,0.024%,,,,
patterned,19,0.024%,,,,
overwhelming,19,0.024%,,,,
altered,19,0.024%,,,,
suggested,19,0.024%,,,,
Ordered,19,0.024%,,,,
type,19,0.024%,,,,
stitched,19,0.024%,,,,
helped,19,0.024%,,,,
followed,19,0.024%,,,,
debating,19,0.024%,,,,
debated,19,0.024%,,,,
sending,19,0.024%,,,,
thick,19,0.024%,,,,
creates,19,0.024%,,,,
pop,19,0.024%,,,,
catching,19,0.024%,,,,
straight,18,0.022%,,,,
happen,18,0.022%,,,,
curvy,18,0.022%,,,,
described,18,0.022%,,,,
listed,18,0.022%,,,,
iron,18,0.022%,,,,
wanting,18,0.022%,,,,
beautiful,18,0.022%,,,,
mention,18,0.022%,,,,
transitioning,18,0.022%,,,,
sweater,18,0.022%,,,,
overall,18,0.022%,,,,
reach,18,0.022%,,,,
knotted,18,0.022%,,,,
cinched,18,0.022%,,,,
hip,17,0.021%,,,,
flared,17,0.021%,,,,
skimming,17,0.021%,,,,
relaxed,17,0.021%,,,,
color,17,0.021%,,,,
stretching,17,0.021%,,,,
ask,17,0.021%,,,,
bulky,17,0.021%,,,,
maeve,17,0.021%,,,,
delighted,17,0.021%,,,,
compare,17,0.021%,,,,
begin,17,0.021%,,,,
writing,17,0.021%,,,,
sure,17,0.021%,,,,
anticipated,17,0.021%,,,,
slit,17,0.021%,,,,
stayed,17,0.021%,,,,
striking,17,0.021%,,,,
started,17,0.021%,,,,
hiding,17,0.021%,,,,
exposed,17,0.021%,,,,
sexy,17,0.021%,,,,
sent,17,0.021%,,,,
stylish,16,0.020%,,,,
regarding,16,0.020%,,,,
boot,16,0.020%,,,,
clinging,16,0.020%,,,,
arrive,16,0.020%,,,,
play,16,0.020%,,,,
remove,16,0.020%,,,,
becoming,16,0.020%,,,,
bright,16,0.020%,,,,
care,16,0.020%,,,,
die,16,0.020%,,,,
checked,16,0.020%,,,,
accentuate,16,0.020%,,,,
zipped,16,0.020%,,,,
losing,16,0.020%,,,,
textured,16,0.020%,,,,
accessorize,15,0.019%,,,,
mind,15,0.019%,,,,
priced,15,0.019%,,,,
shocked,15,0.019%,,,,
