word,freq
undergrad,1
email,8
web,4
slimmer,14
Received,4
disagree,2
post,44
getaway,1
halter,27
pin,19
34ddd,8
anyways,4
Sale,1
cover,67
company,14
cross,28
bod,3
cold,13
juice,1
venice,1
btw,8
problem,214
trouser,53
midi,30
wine,59
hoping,7
droop,2
throughout,60
moss,69
lounge,25
pic,92
pit,5
hole,145
case,104
panel,44
basic,5
catalog,34
linen,104
flowy,109
clothes,126
horseshoe,1
facing,1
slouchy,11
star,66
exposure,6
stitch,20
non,8
band,71
It,99
jessa,1
mail,84
opinion,72
elbow,18
semi,7
colder,30
climate,27
So,68
145,56
150,36
smaill,2
mediumd,1
sewn,19
value,16
shorty,4
lightweight,42
death,9
choke,2
hug,38
rayon,38
im,27
denimy,3
taste,15
peter,2
pan,3
ivory,108
155,21
think,21
someone,100
denim,324
refresher,2
feeling,37
promo,18
tinge,4
indecent,1
128lbs,14
notice,23
vacation,50
next,8
imperfection,25
cozy,111
minnesota,5
throw,26
cocoon,8
element,13
nylon,13
wool,91
Can,17
guess,27
comfortable,55
floor,37
36dd,57
105lbs,2
coffee,6
dolman,5
Bought,59
speak,4
lining,126
cloud,3
calf,41
There,17
fleece,10
swimming,2
34c,104
mess,5
weave,31
cowl,27
matter,21
butt,79
tur,1
month,175
wed,1
thursday,1
knitter,1
jacquard,5
yarn,20
six,39
hang,89
keeper,71
desire,2
possibility,14
normall,1
Has,3
window,15
portland,5
tent,33
dressing,33
attendant,3
belt,231
pl,4
curvier,6
near,33
position,4
closer,6
slip,208
Stylist,1
concern,35
wrin,1
sack,33
combo,47
eira,1
As,45
slate,10
New,1
fav,6
lbd,6
postpartum,15
self,21
bow,46
taffeta,1
After,29
hesitant,44
bathrobe,4
eh,2
theo,1
workout,18
shirtdress,10
super,115
answer,5
closure,44
copper,10
86,1
degree,13
Unusual,2
character,14
roll,19
aspect,13
lokka,1
wrist,30
shade,97
68,3
buy,82
Ordered,15
feature,61
october,6
somehow,11
123,14
34d,84
albeit,5
grocery,5
plum,34
gray,79
boxy,26
seam,84
11,47
effect,50
tulip,1
surprise,77
poncho,61
square,10
apart,4
60,30
woman,132
summery,20
steam,2
corduroy,21
maintains,1
27p,6
cord,48
27,181
trip,61
pajama,41
treat,13
want,12
draping,12
mill,2
pullover,36
swing,81
zipper,135
tshirt,26
Wow,19
discount,30
friday,29
balance,15
collage,2
raspberry,18
dusty,7
display,16
mistake,10
range,23
puckering,2
crotch,18
waistband,67
emerald,11
poof,9
view,10
flirty,27
penny,51
sneaker,26
closet,150
autumn,22
southeast,1
thinner,16
tire,1
disguise,4
attention,56
money,52
maker,7
whim,70
name,12
morning,33
pencil,76
whatever,25
paige,20
ag,41
weigh,2
0p,54
zero,11
expand,2
breezy,31
pay,10
le,45
bell,38
dream,77
dove,1
layer,164
silver,46
netting,2
liner,35
102,6
purchas,4
unsure,14
135,125
29,87
28,173
daughter,92
hair,41
chunky,29
kick,7
key,7
multi,12
functionality,1
funky,9
vest,205
An,3
garment,49
drapey,17
attachment,3
moulinette,7
pleat,67
shimmer,22
h,7
Sits,2
make,45
jogger,35
114lbs,2
sit,12
coat,254
23,2
job,35
118,31
step,13
scoop,21
temperature,11
slimming,17
First,28
stuff,16
dark,85
cart,9
135lbs,40
Just,72
travel,36
york,3
30dd,28
32d,29
