before lemma words,before freq,after freq
glad,479,479
blue,783,795
material,1241,1271
french,6,6
texture,135,152
still,832,833
structured,76,76
issues,70,0
appropriately,7,7
oversized,131,131
styling,85,85
mod,5,5
jacket,810,894
x,45,1226
while,439,439
wasn,276,276
100,74,74
sure,467,467
due,155,155
3,576,576
117,25,25
33a,1,1
snug,258,258
kept,111,111
xs,1181,0
few,231,231
times,161,0
thin,366,366
tops,542,0
recently,77,77
looser,102,102
get,1022,1079
away,166,166
jackets,84,0
pricey,74,74
fitting,272,272
anything,243,243
bulky,83,83
under,343,343
worth,356,356
1,293,293
110,48,48
xsp,49,49
could,845,845
barely,41,41
when,1317,1317
did,795,795
couldn,201,201
breathe,8,8
again,173,173
sp,29,29
need,476,536
somewhere,18,18
Beautiful,133,133
higher,118,118
going,438,438
keep,293,363
similar,108,108
carrying,7,7
baby,125,131
right,972,972
8,673,674
instead,105,105
usual,508,508
cardigan,302,332
tts,396,0
flattering,2271,2271
happened,25,25
local,229,229
despite,48,48
fact,106,106
exclusive,8,9
returns,5,0
them,1548,1548
colors,1533,0
hesitation,8,8
standup,1,1
collar,119,120
actually,393,393
folds,5,0
fine,291,291
gives,198,0
vest,203,224
lapels,8,0
belted,25,25
left,101,101
slightly,443,443
usually,1089,1089
close,81,87
since,436,436
built,33,33
fasteners,3,0
long,1331,1331
button,247,554
o,29,29
looking,578,578
attitude,6,6
faded,29,29
deep,116,116
charcoal,30,30
grey,339,340
petite,1232,1288
chest,404,408
luckily,25,25
make,584,1180
zipping,10,10
partway,1,1
leaving,14,14
half,64,64
These,388,388
petites,56,0
younger,12,12
many,784,784
these,1841,1841
libs,1,1
tight,608,608
photo,283,449
white,853,854
mother,43,47
ankle,174,219
fray,7,8
sale,734,777
site,35,39
those,225,225
smaller,241,241
live,102,102
los,1,1
angeles,1,1
beginning,8,8
ve,682,682
enough,907,907
slip,235,246
hoodie,19,19
seater,3,3
gets,57,0
colder,39,39
downside,25,28
aren,82,82
put,284,291
Nice,32,32
tee,388,445
red,465,472
4,1086,1086
sleeves,757,0
lacing,4,4
price,623,627
When,58,58
knew,136,136
fell,212,212
edgy,29,29
leather,108,108
stretch,441,457
places,84,0
crop,36,52
appeared,10,10
sweatshirt,75,79
structure,55,55
holds,50,0
vibrant,186,186
blend,45,49
use,166,166
from,999,999
shirts,162,0
most,467,467
olive,62,62
probably,314,314
didn,614,614
already,193,193
plain,53,53
neckline,284,285
keeps,70,0
boring,31,31
thickness,33,33
any,472,472
bumps,21,0
lumps,14,0
highlighted,4,4
how,693,693
Don,8,8
plan,204,209
buy,586,587
amazing,381,381
matches,30,0
trend,43,43
designs,36,0
sexy,154,154
immodest,6,6
buying,173,173
another,412,412
thick,277,277
some,766,766
fat,14,14
stage,2,2
even,971,972
better,543,543
without,681,681
midriff,6,6
bulge,7,21
thinking,124,124
ordering,163,163
goes,263,0
say,428,505
girls,74,0
first,585,585
cheap,48,48
smell,13,15
least,100,100
experience,27,29
mentioned,107,107
reviewer,217,443
70,22,33
vibe,57,57
colorful,39,39
weren,22,22
having,115,115
said,276,276
lightweight,316,316
flows,131,0
curvy,224,224
36,81,81
c,102,102
cup,55,80
one,2078,2137
other,1004,1004
note,68,70
been,595,595
older,16,16
prefer,125,125
coverage,94,95
personal,27,27
preference,19,20
think,1039,1043
depiction,2,2
appreciate,59,59
design,650,686
flowing,69,69
romantic,73,73
piece,672,771
sheer,287,287
nude,115,115
camisole,55,57
associate,19,23
recommended,40,40
today,266,266
kind,208,211
hoping,95,95
special,185,185
v,134,155
neck,348,351
front,597,599
cleavage,39,39
showing,80,80
outside,40,40
huge,99,99
fan,98,100
drives,2,0
crazy,40,40
thanks,62,62
often,161,161
A,49,49
breath,6,7
fresh,30,30
air,40,40
denim,373,373
orange,183,183
reds,7,0
etc,74,74
purchase,442,487
tights,190,190
options,39,0
accessorize,16,16
soo,11,11
cool,238,248
edge,43,72
form,127,128
provides,20,20
amount,143,144
two,364,364
easily,286,286
day,511,747
night,204,236
worthy,12,12
splash,2,2
sexiness,6,6
peek,19,21
boo,13,14
embossed,2,2
extremely,209,209
surprisingly,59,59
supportive,14,14
considering,64,64
lack,13,14
padding,11,11
firm,4,4
every,426,426
navy,350,350
youthful,6,6
although,185,185
young,28,28
flares,52,0
making,110,110
hips,383,0
heavy,251,251
seasons,108,0
short,819,1179
9,154,154
above,302,302
knees,123,0
isn,215,215
Extremely,3,3
evening,75,107
chance,86,87
worried,153,153
might,336,336
boxy,235,235
soon,123,123
sight,29,29
recurrent,1,1
issue,125,195
regarding,16,16
124,10,10
cropped,154,154
taller,54,54
weather,275,275
starting,5,5
find,580,584
excuses,1,0
anoth,1,1
patterned,29,29
teh,8,8
flatering,6,6
definition,17,17
flutter,22,24
give,308,506
volume,26,27
change,56,62
fitter,1,1
perhaps,47,47
shirter,1,1
list,18,19
whether,44,44
should,210,210
hesitated,20,20
boy,19,25
order,485,487
p,78,95
decided,277,277
foot,28,82
fake,3,3
concerned,54,54
bad,86,86
ot,4,4
xl,199,202
yellow,155,157
combination,59,69
cheerful,10,10
proportions,16,0
where,243,243
stripes,91,0
placed,22,22
works,287,0
return,118,123
comes,160,0
thigh,50,133
models,18,0
hoped,46,46
mean,26,68
knee,284,407
unfortunately,74,74
d,366,366
self,29,30
conscious,19,19
want,554,574
deal,77,77
named,4,4
town,30,31
disappoint,69,69
cover,133,210
strap,41,214
elastic,103,103
maternity,57,57
Perfect,52,52
trans,1,1
skinnies,31,0
boyfriend,55,58
mixed,23,23
prints,53,0
reminds,37,37
adopted,1,1
curatorial,1,1
approach,3,3
their,154,154
quite,352,352
dramatic,15,15
each,80,80
wonderful,208,208
drapery,5,5
movement,54,57
favorite,426,457
dark,255,255
boho,45,45
either,202,202
brands,46,0
significant,4,4
difference,44,49
except,56,56
inch,85,199
tab,6,7
may,402,402
keeping,96,96
jersey,46,46
lined,232,232
tend,73,73
faux,50,50
different,485,485
floral,105,105
patterns,72,0
together,105,105
interesting,120,120
empire,16,16
flared,31,31
addition,135,135
wardrobe,269,269
transition,95,101
Very,147,147
aesthetics,3,0
comfort,93,93
must,188,188
hand,77,105
bill,54,54
vintage,58,58
bohemian,36,36
styles,59,0
seems,201,201
figure,250,271
types,54,0
larger,237,237
thing,242,459
placement,30,30
print,453,506
asymmetrical,30,30
unlike,40,40
bother,31,34
customers,14,0
expecting,57,57
second,119,120
wou,2,2
Saw,41,41
found,478,478
things,217,0
34,91,91
dd,46,46
sizes,270,0
between,334,334
torn,12,12
which,1421,1421
tad,184,184
seriously,39,39
plus,166,166
machine,77,78
wash,229,291
simply,67,67
wouldn,113,113
picked,74,74
preppy,4,4
hubby,8,8
complimented,29,29
else,92,92
ever,238,238
owned,57,57
absolute,22,22
favorites,31,0
coral,95,96
sized,265,265
flowy,372,372
end,106,127
purchases,45,0
gotten,134,134
especially,252,252
pink,313,322
lb,55,766
exchanging,26,26
regular,653,654
wise,21,21
mind,96,96
l,227,227
preferred,32,32
slacks,42,0
delicate,178,178
sewn,55,55
onto,12,12
durable,28,28
scarf,78,87
eyelet,17,21
lays,77,0
bigger,126,126
pull,137,154
mine,130,130
personally,39,39
almost,317,317
peacock,1,1
brown,127,130
tan,61,61
adds,168,0
interest,56,56
charm,10,10
adore,94,94
slender,66,66
hides,75,0
hanging,49,49
inside,107,107
broad,118,118
shoulders,431,0
hinder,1,1
arms,394,0
surprised,179,179
roomy,165,166
inner,21,21
lining,202,204
cuff,46,88
pushed,10,10
xx,3,183
For,24,24
tag,56,58
opportunity,10,13
items,86,0
overlooked,6,6
earlier,23,23
pick,42,48
xxsp,41,41
32,57,57
24,28,29
overall,296,307
staple,189,195
forward,104,104
busted,45,45
ladies,70,0
meant,85,85
complaints,17,0
horizontal,15,15
lines,73,0
wearer,7,7
step,14,16
notch,11,12
indicates,6,6
indeed,21,21
highlights,5,0
hour,24,56
glass,8,9
generous,47,47
nod,2,2
curves,126,0
accommodating,2,2
skater,2,2
casually,50,50
bonus,61,61
Top,5,5
boot,21,490
compliment,34,838
sister,20,22
layered,73,73
paired,215,215
overly,66,66
necessary,23,23
expected,149,149
gift,54,57
husband,90,91
kudos,3,3
him,7,7
sheerness,8,8
offer,18,34
modesty,7,7
crave,1,1
dressier,51,51
skinny,379,419
pant,101,1280
hd,8,8
paris,15,15
fails,2,2
please,89,89
aesthetic,11,14
admired,4,4
various,22,22
iterations,1,0
finally,134,134
delight,10,10
generally,76,76
shopper,12,14
priced,15,15
oatmeal,10,10
gold,111,111
comfortably,60,60
frame,177,183
suppose,17,17
straps,173,0
confusing,6,6
moment,49,51
puttin,1,1
happen,20,20
linen,143,144
heavier,76,76
typical,97,97
send,26,26
arrived,136,136
damage,3,3
zippered,3,3
exchange,65,66
hangs,150,0
matter,22,25
fasten,4,4
leave,41,41
neat,13,13
seen,81,81
expect,86,86
anyway,106,106
adorable,301,301
struggled,2,2
choose,38,38
shipped,10,10
directly,5,5
quickly,45,45
nautical,5,5
refreshing,6,6
double,50,50
breasted,8,8
appealed,5,5
build,81,83
b,98,98
avoid,34,34
sometimes,171,171
ok,63,63
bagg,1,1
best,330,330
seemed,53,53
shocked,16,16
softness,32,32
construction,44,45
honestly,42,42
believe,75,75
36d,45,45
31,31,31
turned,38,38
plenty,89,89
14,73,74
pleased,141,141
office,108,112
plastic,6,6
pictures,137,0
fooled,1,1
diamond,5,6
pieces,99,0
sipper,1,1
easier,18,18
bunched,6,6
ore,1,1
bendable,1,1
th,43,44
home,104,104
showed,20,20
told,25,25
honest,18,18
jumpsuit,143,163
reviewers,226,0
correct,24,24
stating,8,8
read,103,106
6ft,6,6
160lb,4,4
difficult,64,64
particularly,29,29
wide,246,246
105,27,27
pale,66,66
skin,174,176
complementary,4,4
tones,31,0
yes,109,109
tank,399,431
blazer,117,131
adequate,8,8
swing,180,194
strapless,62,62
pilcro,201,201
hard,190,190
review,144,596
holidays,30,0
occasion,56,118
seductive,1,1
stunning,205,205
falls,152,0
exquisite,16,16
version,144,159
garner,1,1
shoulder,167,598
area,228,265
challenge,13,13
getting,193,193
rip,4,5
overlook,9,9
flaw,12,62
darn,9,9
lower,113,113
tuck,60,65
cuffs,42,0
placket,11,11
contrasting,20,20
florals,6,6
creamy,9,9
brownish,7,7
burgundy,48,49
butterflies,4,0
embroidered,62,62
goldenrod,3,3
mauve,27,27
turquoise,74,74
li,10,11
extended,3,3
available,159,159
ended,203,203
returning,42,42
tassels,15,0
sides,107,0
truly,94,94
fabulous,128,128
chic,131,131
flair,51,57
sophisticated,44,44
quirky,25,25
details,313,0
course,38,38
embroidery,255,255
couple,101,101
sleeve,185,942
roll,48,57
r,12,12
floaty,8,8
tanks,32,0
sweet,70,71
shorts,360,0
narrow,66,66
pounds,160,0
4p,27,27
cling,41,56
drapes,215,0
elongating,2,2
regret,46,50
item,117,203
enjoyed,9,9
during,126,126
winner,68,68
transitional,37,37
blk,3,3
your,660,660
sort,62,67
chilly,34,34
outdoors,4,4
toss,2,2
round,86,86
head,38,47
western,8,8
shades,19,0
lucky,39,39
hold,83,133
intarsia,2,2
ankles,45,0
framed,7,7
stay,69,104
busty,136,136
shouldered,12,12
complements,42,0
taupe,59,59
maxi,82,87
xsmall,23,23
putting,30,30
bandeau,11,11
alone,57,57
smells,2,0
heavily,3,3
last,229,233
purchaser,2,2
deodorant,1,1
perfume,1,1
nauseating,1,1
full,332,332
condition,2,2
otherwise,118,118
hunt,15,15
plaid,76,77
bomber,22,23
rock,15,17
edition,2,3
surpassed,5,5
expectations,32,0
literally,35,35
pairs,90,0
chokers,1,0
name,15,17
product,62,72
pear,62,62
shaped,57,57
trick,15,15
skimming,20,20
hugging,26,26
uncomfortable,37,37
gapping,11,11
slight,106,106
sheen,25,25
26,204,206
38,60,60
smart,2,2
gave,87,87
boost,2,2
needed,198,198
meeting,8,12
thank,61,61
lose,38,38
business,33,33
109lbs,4,4
00,48,48
colours,4,0
waste,19,19
legs,216,0
gap,34,36
hasn,10,10
held,28,28
care,72,74
laundering,4,4
states,7,0
viewed,2,2
bathing,60,60
suit,162,196
others,138,138
shopping,63,63
suitable,6,6
move,46,72
stays,35,0
place,74,158
modern,47,47
point,84,88
described,24,24
noted,46,46
limited,5,5
support,40,44
covered,41,41
provide,19,19
lift,12,13
fashionable,18,18
practical,22,22
impeccable,8,8
tie,201,251
120,116,116
16,35,36
existed,3,3
indication,2,2
hungry,1,1
restock,7,7
apparently,7,7
glove,109,110
five,19,19
kids,24,0
currently,54,54
nursing,10,10
beach,82,84
feeling,85,86
bikini,18,20
binding,5,5
swim,23,23
splurge,27,27
Cute,47,47
bright,164,164
crochet,27,27
pop,62,79
pinstriped,1,1
134,9,9
34b,116,116
mentioning,4,4
Comfy,4,4
house,63,64
roomier,8,8
wanted,296,296
reservations,2,0
given,42,42
108lbs,2,2
midi,42,42
motif,98,103
wrinkle,74,113
free,50,50
package,30,30
effortless,29,29
hot,211,211
always,389,389
throw,149,150
pool,17,18
concert,8,8
sandals,187,0
braid,1,1
taper,9,11
leg,121,337
swimsuit,49,56
exactly,216,216
teal,55,55
brighter,41,41
liking,15,15
initially,47,47
showy,4,4
basic,120,127
heels,258,0
dry,147,151
besides,13,13
modest,51,51
stand,57,78
icing,2,2
cake,3,3
functional,28,28
lay,36,113
poolside,1,1
scuba,1,1
dive,1,1
spectacular,16,16
searching,41,41
flattered,4,4
bump,16,37
170,13,13
180,5,5
19,4,4
weeks,62,0
pregnant,42,42
im,47,47
185,4,4
growing,7,7
36c,66,66
38d,2,2
plunge,26,26
cheek,1,2
push,13,14
loosens,2,2
darker,87,87
sweaters,130,0
cashmere,40,40
stick,41,46
spot,92,120
atleast,1,1
far,157,157
cutest,27,27
glamorous,10,10
family,23,23
events,38,0
rest,44,44
come,191,351
solid,73,78
someday,1,1
repeat,3,4
grabbed,35,35
wasa,1,1
against,44,44
know,250,258
kid,5,29
uniform,13,13
lie,8,14
flat,111,276
successfully,4,4
bunch,27,28
ones,59,0
bingo,2,2
hitting,17,17
conservative,28,28
lecturing,1,1
college,9,9
undergrads,1,0
Such,40,40
email,7,9
web,7,7
slimmer,33,33
Received,13,13
disagree,46,46
post,48,49
swimsuits,7,0
own,180,180
dots,47,0
getaway,1,1
adjustable,56,56
halter,25,27
whimsical,21,21
why,135,135
jean,161,1845
pin,21,24
striped,39,39
34ddd,8,8
waisted,127,127
anyways,9,9
Sale,1,1
polite,1,1
company,14,14
underwear,17,17
cross,28,34
bod,3,3
cold,122,122
pressed,6,6
juice,1,1
venice,1,1
btw,13,13
problem,184,214
trousers,47,0
muscular,39,39
hemmed,44,44
drape,157,372
seasonal,4,4
wine,68,68
consistently,12,12
warn,8,8
awkwardly,5,5
awkward,29,29
shin,2,3
justify,9,9
re,394,394
droop,3,4
throughout,60,60
moss,71,71
textures,17,0
fully,35,35
through,456,456
hidden,27,27
lounge,37,37
pics,42,0
arm,153,547
pit,3,5
holes,133,0
came,249,249
case,101,104
girlie,3,3
ll,299,299
bring,43,43
sit,48,48
liner,38,38
become,63,63
mainly,14,14
panels,21,0
eyeing,36,36
catalog,34,34
remembered,2,2
worked,115,115
clothes,130,130
tiny,124,124
prettier,95,95
photographed,5,5
here,144,144
horseshoe,1,1
facing,1,1
seaming,12,12
consider,47,47
dressy,150,150
skirts,171,0
slouchy,35,35
softer,21,21
layers,70,0
Marking,1,1
star,29,69
gape,10,12
prevent,9,9
indecent,2,2
exposure,6,6
done,81,81
stitch,19,22
limit,4,4
non,31,31
worse,8,8
bulkier,3,3
band,71,72
It,99,99
seldom,5,5
write,35,35
receiving,20,20
jessa,1,1
mail,84,84
compelled,7,7
opinion,71,72
hefty,5,5
called,31,31
elbow,16,24
semi,20,20
softest,39,39
distinct,3,3
climates,10,0
So,103,103
indigo,9,9
relaxed,83,83
145,56,56
150,36,36
smaill,2,2
mediumd,1,1
itchy,109,109
shows,103,0
edges,29,0
rough,10,10
dressing,80,80
fancier,7,7
week,79,141
opened,21,21
value,16,16
shorty,6,6
standard,30,33
xxs,180,0
othewise,1,1
draped,26,26
exact,15,15
years,206,0
ago,98,98
death,9,9
negative,50,52
choke,2,2
pulls,17,0
giant,8,8
hug,39,102
saturday,14,15
rayon,49,49
ish,29,29
washed,167,167
denimy,3,3
coming,53,53
taste,15,15
resist,39,39
peter,2,2
pan,2,4
ivory,140,141
expensive,71,71
ft,31,31
155,21,21
hope,117,130
someone,100,100
impressed,32,32
refresher,2,2
promo,21,21
emphasize,8,8
washing,71,75
drying,15,15
styled,45,45
tinge,4,4
128lbs,14,14
skinnys,9,0
athletic,121,121
understated,22,22
notice,42,42
falling,25,25
vacation,45,50
next,121,121
cozy,230,230
substantial,136,136
imperfections,24,0
1950,1,1
belly,85,85
accentuates,28,28
phenomenal,5,5
crinolined,1,1
uniqueness,23,24
minnesota,5,5
essential,12,12
cocoon,8,8
element,9,13
acrylic,6,6
nylon,12,14
wool,116,116
somewhat,77,77
who,187,187
ordere,1,1
Can,17,17
guess,33,33
haven,101,101
floor,37,37
goddess,8,8
36dd,57,57
fairly,75,75
additional,35,35
105lbs,2,2
coffee,7,7
neutral,149,152
girl,78,152
dolman,9,9
Bought,87,87
cant,19,19
speak,14,14
incredibly,135,135
wearable,30,30
opted,28,28
dont,9,9
listed,18,18
save,6,6
clouds,1,0
calves,15,0
totally,139,139
bulk,40,40
There,17,17
fleece,13,13
advised,7,7
swimming,17,17
34c,104,104
agree,157,157
mess,6,6
weave,46,46
important,19,19
cowl,27,27
sits,42,42
fold,21,26
covers,77,0
butt,89,91
shapeless,33,33
graze,3,3
thighs,83,0
mild,15,15
tur,1,1
pic,56,98
nap,2,3
month,40,175
returned,100,100
wed,1,1
thursday,1,1
knitter,1,1
thinks,4,0
jacquard,5,5
excellent,98,98
yarn,20,21
used,110,110
six,39,39
feet,54,0
keeper,83,86
desire,6,6
possibilities,11,0
endless,12,12
match,50,80
normall,1,1
Has,3,3
window,17,17
portland,6,6
horrified,1,1
tent,50,52
attendants,1,0
brought,23,23
belt,245,251
suddenly,5,5
scooped,8,8
fantastic,119,119
pl,4,4
pm,6,6
constricted,7,7
curvier,16,16
trying,178,178
parts,23,0
near,36,36
inappropriate,5,5
dinner,100,106
viscose,9,9
needs,60,0
airy,89,89
position,3,4
closer,35,35
Stylist,1,1
amazed,17,17
concern,30,35
wrinkled,21,21
requested,1,1
steamed,3,3
wrin,1,1
Not,20,20
sack,35,35
combo,47,53
eira,2,2
chose,64,64
As,47,47
Purchased,38,38
slate,11,11
slimming,164,164
New,1,1
fav,12,12
lbd,7,7
months,135,0
postpartum,19,19
old,79,79
bow,40,50
cinch,17,24
taffeta,1,1
After,29,29
reading,81,82
brand,185,231
bathrobe,4,4
Comfortable,19,19
eh,2,2
theo,1,1
nly,1,1
became,13,13
workout,18,18
lis,1,0
require,33,33
lighter,79,79
appears,74,74
using,22,22
chart,12,13
provided,6,6
general,22,22
shirtdress,10,11
pops,17,0
crisp,35,35
menswear,2,2
answer,6,6
closure,32,44
ready,28,28
turns,16,0
copper,11,11
86,1,1
degrees,6,0
Unusual,2,2
character,17,17
potentially,4,4
aspect,13,17
potential,13,13
iron,28,29
lokka,1,1
nights,32,0
set,42,55
wrist,24,34
shade,90,109
hate,39,42
paying,15,15
68,3,3
solve,3,3
below,173,173
Ordered,34,34
criss,5,5
feature,42,63
unbelievably,8,8
baggy,140,140
frumpy,48,48
event,64,102
october,6,6
pairing,35,36
cowboy,10,11
somehow,34,34
myself,166,166
picking,5,5
amazingly,29,29
follows,8,8
clinging,17,17
123,14,14
chesty,9,9
34d,84,84
ha,17,1496
albeit,6,6
Absolutely,67,67
curve,25,151
hadn,10,10
late,35,35
imaginable,3,3
settle,4,4
grocery,5,5
pinks,9,0
plum,35,35
raw,21,21
seams,41,0
threatening,1,1
unravel,3,3
11,47,47
tunics,22,0
posted,8,8
reason,59,75
deducted,1,1
slips,11,0
effect,47,50
floppy,7,7
sloppy,40,40
tulip,1,1
surprise,76,84
zero,11,12
prior,11,11
purchasing,67,67
disproportionate,3,3
rectified,1,1
padded,14,14
ponchos,5,0
square,15,17
sets,13,0
apart,17,17
rarely,36,36
comment,27,57
alternative,39,39
60,24,30
woman,47,132
summery,25,25
laid,25,25
touched,6,6
steam,6,6
corduroy,21,22
maintains,4,4
wears,41,0
cleaning,16,16
buttery,12,12
27p,6,6
cords,43,0
muted,49,49
allows,52,52
average,54,54
27,179,181
trip,56,61
tailors,3,0
fix,32,32
pajama,17,45
bottoms,107,0
treat,13,15
pirchasing,1,1
wants,20,0
pjs,17,17
guessing,12,12
draping,22,22
areas,37,0
overwhelming,42,42
swallowing,2,2
mill,2,2
pullover,39,40
wispy,2,2
weighted,6,6
evenings,32,0
zipper,119,137
tshirt,28,28
puffy,12,12
Wow,21,21
maxed,1,1
discount,30,32
friday,33,41
sell,35,47
balance,19,25
classics,3,0
collage,2,2
bootie,8,8
sooooooo,1,1
raspberry,20,20
dusty,16,16
rose,48,51
wanting,19,19
pilled,3,3
display,17,18
mistake,13,13
instant,7,7
range,27,27
puckering,3,3
crotch,18,18
waistband,69,69
taken,36,36
emerald,11,11
happens,16,16
halters,2,0
poof,8,15
view,9,10
flirty,51,51
numer,1,1
penny,51,51
sneakers,26,0
excited,101,101
closet,152,153
autumn,23,23
southeast,4,4
rust,24,24
lucked,4,4
thinner,26,26
layering,139,139
alway,1,1
spare,15,15
tires,1,0
grab,47,49
aholed,1,1
disguise,6,11
brings,14,14
attention,56,56
money,52,52
maker,6,7
won,147,147
whim,71,71
calls,2,0
morning,20,33
pencil,80,80
tempted,29,29
whatever,26,26
means,42,0
anymore,12,12
paige,33,33
ag,82,85
weigh,54,54
0p,54,54
heel,41,299
expand,4,4
breezy,56,56
pay,62,64
less,121,0
implies,2,2
70s,11,0
bell,43,46
