before lemma words,before freq,after freq
I,4929,4929
ordered,1778,1778
the,36715,36715
sweater,1417,1547
in,11091,11092
a,22933,26503
medium,1273,1280
but,7541,7541
it,25342,25826
was,4441,0
too,2657,2657
large,1288,1291
so,6691,6691
reordered,14,14
small,2304,2316
and,27751,27751
fits,1940,0
perfectly,1128,1128
love,5277,5317
length,1556,1561
hits,278,0
mid,127,127
hip,95,478
is,16754,16754
more,2092,2092
of,6707,6707
an,1683,1686
line,283,356
than,1390,1390
straight,126,126
as,3570,0
show,246,349
picture,400,537
detail,478,791
fun,470,470
well,2007,2008
made,846,846
highly,374,374
recommend,654,654
i,30699,30699
have,4017,4017
received,486,486
lots,163,0
compliments,804,0
on,7534,7534
this,11775,11775
This,2488,2488
nice,1509,1509
quality,1157,1158
has,1479,0
such,328,328
great,3813,3813
to,12810,12810
pattern,496,568
knit,266,272
ribbon,32,36
unique,463,463
beautiful,1584,1584
itself,61,61
thicker,103,103
weight,602,602
definitely,747,747
appropriate,120,120
for,7436,7436
winter,369,382
fall,828,980
cooler,87,87
spring,418,418
days,236,0
bought,1902,1902
my,5919,5919
normal,264,264
size,4818,5088
felt,262,262
like,3160,3170
had,1383,1383
slub,3,3
fit,3967,5907
pictured,239,239
model,538,556
shot,37,42
wider,41,41
down,1593,1601
torso,182,187
little,2052,2052
shorter,257,257
not,4397,4397
tunic,250,272
m,3591,3591
5,3110,3110
7,260,260
with,7935,7935
longer,422,422
hit,216,494
maybe,176,176
bum,45,45
saw,637,637
online,835,835
never,246,246
struck,9,9
me,2927,2929
something,315,315
would,2044,2044
wear,3960,4001
however,379,379
after,432,432
seeing,52,52
store,1187,1232
really,1697,1697
caught,88,88
eye,143,168
its,484,0
detailing,121,121
tried,970,970
what,553,553
decision,27,27
because,1429,1429
much,1241,1241
person,700,700
very,4062,4062
soft,2225,2225
warm,451,451
s,4797,4797
perfect,2866,2867
start,34,43
new,275,275
year,293,499
am,3275,3275
138,22,22
lbs,711,0
though,557,557
shown,175,175
photos,166,0
Great,231,231
no,715,715
bagging,3,3
sagging,7,7
they,3014,3014
true,1118,1118
cute,1418,1418
reference,301,302
39,68,68
2,925,927
115,136,136
take,253,284
26p,4,4
look,1955,3444
just,2651,2651
do,872,872
The,384,384
cut,849,863
hemline,32,34
makes,596,0
off,604,604
charts,1,0
w,114,114
ghillie,1,1
type,168,222
flats,165,0
or,3643,3643
booties,200,0
pair,639,729
big,742,742
sleek,17,17
turtleneck,62,67
watch,12,12
heads,9,0
turn,22,38
you,2994,2994
enter,2,2
room,308,309
promise,3,4
skirt,1100,1271
dress,5646,6155
beautifully,320,320
constructed,35,35
fitted,433,433
does,791,0
run,530,1282
side,456,563
will,2010,2011
be,3560,3561
derby,4,4
lace,391,399
lovely,545,546
pearl,2,9
buttons,307,0
are,4091,4091
touch,203,219
age,34,51
anyone,74,74
pretty,930,930
simple,189,189
classic,230,233
gorgeous,626,626
color,2535,4068
peach,54,54
top,3644,4186
over,736,737
gauze,15,15
light,720,725
summer,1018,1039
can,2688,2688
see,830,834
being,580,580
worn,785,785
casual,660,660
dressed,499,499
up,2715,2715
statement,62,62
necklace,113,127
pants,1179,0
that,4914,4914
cream,144,145
flowers,71,0
wore,586,586
wedding,173,198
only,859,859
comfortable,2171,2171
pockets,353,0
cotton,271,272
looked,374,374
good,919,919
got,1452,1452
lot,417,580
outfit,137,171
people,115,115
thought,410,419
shirt,1334,1496
blouse,510,558
rather,117,117
loved,500,500
high,593,593
low,306,306
sizing,305,305
accurate,32,32
easy,503,503
clean,58,60
Soft,34,34
stylish,226,226
eagerly,1,1
awaited,1,1
arrival,10,12
disappointed,92,92
feminine,347,347
shape,516,542
necklne,1,1
ribbons,4,0
add,233,401
extra,353,354
style,883,942
both,625,625
elegant,156,156
at,2409,2409
same,294,294
time,648,809
versatile,421,421
Adorable,27,27
loose,604,604
helps,70,0
slim,168,168
man,9,9
back,1317,1318
appearance,18,18
tapered,12,12
body,541,544
flare,140,192
bottom,544,651
hem,248,258
clingy,89,89
fabric,2099,2143
doesn,489,489
t,4127,4129
accentuate,19,19
bulges,14,0
happy,511,511
about,1074,1074
forgiving,86,86
silhouette,70,75
walked,49,49
into,333,333
retailer,1248,1254
hopes,13,0
finding,93,93
friend,36,90
season,178,286
dresses,507,0
drawn,44,44
number,48,51
multiple,65,66
reasons,16,0
certainly,33,33
depending,128,128
upon,42,42
accessories,46,0
feels,360,0
incredible,33,33
yet,393,393
classy,134,134
heck,7,7
typically,242,242
10,463,464
12,205,205
took,260,260
work,964,1251
by,446,446
tightening,1,1
sash,3,3
bit,1418,1425
wearing,909,913
bra,473,491
able,231,231
snatch,5,5
before,210,210
sold,228,228
out,1701,1715
now,411,411
stock,67,67
fabrics,44,0
outstanding,10,10
flimsy,23,23
all,1528,1528
stretchy,213,213
normally,459,459
choice,49,55
0,263,263
tall,286,287
125,107,107
everything,358,358
smile,9,10
wait,429,430
holiday,70,100
party,97,117
don,915,916
hesitate,28,28
if,1530,1530
fence,46,46
immediately,145,145
went,598,598
try,559,560
three,85,85
sales,43,0
asscoaites,1,1
help,42,112
zip,72,81
once,197,197
bodice,79,79
nicely,490,490
there,748,750
around,496,496
waist,1049,1052
bust,367,373
nothing,100,101
weird,57,57
christmas,62,62
eve,10,10
he,48,48
green,505,510
gray,240,242
accent,16,31
stitching,65,65
looks,1489,0
awesome,150,150
tone,51,82
leggings,546,0
super,1001,1001
runs,752,0
6,864,865
140,110,110
unflattering,40,40
way,702,785
Love,839,839
comfy,594,594
mint,24,24
jeans,1684,0
boots,469,0
liked,196,196
black,1167,1169
open,178,183
closed,35,35
part,240,263
go,908,1171
ways,83,0
revealing,42,42
likely,39,39
then,357,357
cami,251,251
underneath,414,414
feel,891,1251
absolutely,515,515
whole,66,66
also,1209,1209
reviewed,10,10
polka,38,38
dot,28,75
wish,452,452
laces,8,0
were,547,547
purchased,950,950
hesitant,85,85
based,124,124
reviews,452,0
